rnd,N,sumdi,dN,t1,Tdf,COM,cv,prevelance
0.362553078387808,13,83,10,9,105,352.192771084337,0.402068007835079,0.00520606712516151
0.780773050732347,16,95,7,74,45,510.473684210526,0.400774872734006,0.0142150537264423
0.0323700143219828,9,52,5,2,240,502.903846153846,0.38485569415749,4.54406064901738e-09
0.0940399472903506,12,76,7,68,270,501.763157894737,0.358372886336345,1.80111696211516e-05
0.171849852291393,19,93,3,52,150,453.537634408602,0.495285516350202,0.00235194776958752
0.355098456227623,19,93,3,52,360,453.537634408602,0.495285516350202,6.54378114958486e-05
0.619366398180292,6,52,10,173,255,573.788461538462,0.249259257631072,9.9045591855276e-09
0.348686750176042,7,39,5,44,150,750.871794871795,0.566235284617158,7.08184299445906e-11
0.120602224288346,4,29,7,339,180,536.965517241379,0.284352112111563,2.74676020120857e-11
0.998635536784793,11,62,3,51,90,527.661290322581,0.390908650916147,1.31904409934104e-06
0.104065472601464,2,17,7,79,135,151.647058823529,0.249567099242311,4.34017191329561e-09
0.261215619397365,12,59,5,138,330,530.71186440678,0.478631147330818,8.44345123941614e-09
0.469989121227345,15,89,3,241,165,619.662921348315,0.482903369555543,0.00147833560843703
0.351454987254626,9,52,5,201,225,611.942307692308,0.343741594840759,2.23246527399014e-09
0.2441324975443,15,98,7,199,330,602.755102040816,0.383162925622828,0.000125565643488309
0.0611530915758766,14,74,5,15,330,502.932432432432,0.46000945435413,3.4594513547834e-06
0.605985185929958,1,7,7,177,150,180,0,2.0804346961217e-10
0.0200318200663896,13,87,7,315,225,563.827586206897,0.410963076760201,0.000756996526184704
0.262423515044494,8,43,3,27,165,492.325581395349,0.506467481731814,5.70422275766857e-10
0.229759771017829,11,57,7,89,15,530.859649122807,0.551390977301211,2.07375341252819e-06
0.331990083613172,9,50,7,149,150,682.64,0.39344631145812,3.83880830149988e-09
0.0781066143834954,15,90,5,22,240,423.244444444444,0.50787450018337,0.000467044207355325
0.977524027126471,11,62,3,51,75,527.661290322581,0.390908650916147,1.67794849191846e-06
