rnd,N,sumdi,dN,t1,Tdf,COM,cv,prevelance
0.427599684994539,13,83,10,9,105,352.192771084337,0.402068007835079,1
0.0387652923294819,16,95,7,74,45,510.473684210526,0.400774872734006,1
0.146138622524142,9,52,5,2,240,502.903846153846,0.38485569415749,1
0.534578709430319,12,76,7,68,270,501.763157894737,0.358372886336345,1
0.936701656792154,19,93,3,52,150,453.537634408602,0.495285516350202,1
0.421469521751722,19,93,3,52,360,453.537634408602,0.495285516350202,1
0.417151228470751,6,52,10,173,255,573.788461538462,0.249259257631072,1
0.579583468596342,7,39,5,44,150,750.871794871795,0.566235284617158,1
0.978884577168738,4,29,7,339,180,536.965517241379,0.284352112111563,1
0.615224069862968,11,62,3,51,90,527.661290322581,0.390908650916147,1
0.585264444995608,2,17,7,79,135,151.647058823529,0.249567099242311,1
0.257291807271186,12,59,5,138,330,530.71186440678,0.478631147330818,1
0.186975499946454,15,89,3,241,165,619.662921348315,0.482903369555543,1
0.560365582649389,9,52,5,201,225,611.942307692308,0.343741594840759,1
0.0800890072622906,15,98,7,199,330,602.755102040816,0.383162925622828,1
0.84672041905278,14,74,5,15,330,502.932432432432,0.46000945435413,1
0.941443927664803,1,7,7,177,150,180,0,1
0.734926643295839,13,87,7,315,225,563.827586206897,0.410963076760201,1
0.379300281916044,8,43,3,27,165,492.325581395349,0.506467481731814,1
0.182844659191731,11,57,7,89,15,530.859649122807,0.551390977301211,1
0.897906127642828,9,50,7,149,150,682.64,0.39344631145812,1
0.228973676804644,15,90,5,22,240,423.244444444444,0.50787450018337,1
0.760444708684529,11,62,3,51,75,527.661290322581,0.390908650916147,1
0.58013327733132,6,47,10,297,120,515.723404255319,0.355771148358783,1
0.0668922201763738,13,66,10,11,105,399,0.458150685704105,1
0.97229693944148,17,106,5,14,360,362.764150943396,0.459003711599777,1
0.0479352332604094,9,42,3,53,60,492.380952380952,0.524890659167824,1
0.186795529472829,8,41,10,3,45,500.365853658537,0.515585263082757,1
0.614356139219059,10,67,3,262,225,501.820895522388,0.428265457047907,1
0.455753435585019,19,117,10,41,210,397.48717948718,0.490963462374749,1
0.50024486169271,20,115,3,14,15,515.269565217391,0.406395983926597,1
0.368547666256647,15,98,7,199,90,602.755102040816,0.383162925622828,1
0.525644309130942,19,105,3,17,15,408.895238095238,0.502370295029766,1
0.230524547790983,18,112,3,13,255,462.991071428571,0.407159442386653,1
0.0293324552181971,10,58,5,213,360,438.586206896552,0.241105482337966,1
0.307220695477835,5,32,3,33,45,391.15625,0.407450150325166,1
0.994965771653264,15,75,10,76,45,635.48,0.518238775634773,1
0.624114458306206,13,87,7,315,165,563.827586206897,0.410963076760201,1
0.745819817719228,10,60,7,47,90,617.2,0.175682092231577,1
0.242201547,8,41,10,3,225,500.365853658537,0.515585263082757,1
0.138269409154356,11,70,5,1,240,442.714285714286,0.440407974125662,1
0.183877216128262,12,63,5,161,330,506.714285714286,0.382033099098012,1
0.236003110921587,9,54,7,246,30,486.611111111111,0.372677996249965,1
0.570168275742257,9,52,5,2,285,502.903846153846,0.38485569415749,1
0.860397564957014,12,85,3,139,0,548.435294117647,0.419049389319321,1
0.531220820609901,18,111,10,48,45,538.072072072072,0.479278880826703,1
0.849326647652287,14,74,5,15,45,502.932432432432,0.46000945435413,1
0.353009060342331,9,50,7,149,150,682.64,0.39344631145812,1
